degree distribution (degree-occurrences)
37.0303	0.033
41.7553	0.0313333
47.0123	0.0225
53.88	0.0178571
60.3333	0.0128571
68.119	0.00777778
77.3673	0.00907407
87.7556	0.00681818
100.094	0.00410256
113.185	0.00346154
120	0.000208333

--------------------------------------
community distribution (size-occurrences)
80  1
118  1
402  1

--------------------------------------
mixing parameter
0.0533428	0.00333333
0.0945294	0.223333
0.135936	0.426667
0.165921	0.0166667
0.256467	0.116667
0.296748	0.19
0.337968	0.0233333
