1	3
2	7
3	3
4	1
5	1
6	6
7	5
8	5
9	3
10	6
11	4
12	5
13	7
14	3
15	3
16	6
17	5
18	1
19	5
20	1
21	3
22	4
23	6
24	5
25	2
26	4
27	6
28	3
29	3
30	8
31	1
32	4
33	3
34	1
35	4
36	5
37	5
38	5
39	8
40	2
41	1
42	4
43	1
44	6
45	3
46	6
47	1
48	8
49	1
50	2
51	6
52	4
53	3
54	8
55	6
56	8
57	6
58	6
59	6
60	5
61	8
62	1
63	8
64	1
65	5
66	1
67	5
68	3
69	2
70	8
71	1
72	2
73	5
74	3
75	6
76	3
77	6
78	7
79	6
80	5
81	5
82	6
83	3
84	7
85	6
86	1
87	5
88	5
89	3
90	3
91	5
92	6
93	2
94	5
95	5
96	4
97	7
98	3
99	5
100	4
101	7
102	2
103	5
104	3
105	3
106	3
107	6
108	6
109	1
110	5
111	6
112	5
113	4
114	2
115	3
116	6
117	5
118	4
119	2
120	6
121	1
122	8
123	6
124	2
125	5
126	3
127	4
128	2
129	8
130	5
131	7
132	2
133	5
134	5
135	6
136	8
137	1
138	7
139	8
140	6
141	3
142	3
143	3
144	6
145	5
146	5
147	3
148	4
149	4
150	6
151	2
152	8
153	2
154	4
155	2
156	5
157	4
158	8
159	7
160	4
161	8
162	3
163	3
164	5
165	7
166	5
167	4
168	7
169	4
170	8
171	2
172	8
173	1
174	5
175	7
176	5
177	7
178	8
179	3
180	8
181	5
182	8
183	8
184	6
185	6
186	8
187	3
188	5
189	7
190	5
191	5
192	8
193	2
194	6
195	8
196	5
197	8
198	5
199	8
200	8
201	1
202	8
203	3
204	5
205	5
206	6
207	5
208	5
209	1
210	6
211	7
212	3
213	5
214	8
215	5
216	3
217	5
218	5
219	5
220	2
221	1
222	7
223	7
224	3
225	1
226	8
227	8
228	7
229	1
230	8
231	3
232	6
233	7
234	1
235	6
236	2
237	7
238	6
239	8
240	1
241	8
242	8
243	5
244	3
245	2
246	7
247	1
248	3
249	3
250	6
251	2
252	7
253	5
254	3
255	4
256	7
257	6
258	8
259	5
260	3
261	7
262	4
263	3
264	4
265	2
266	8
267	3
268	8
269	4
270	5
271	7
272	1
273	2
274	7
275	7
276	2
277	3
278	5
279	3
280	6
281	3
282	4
283	2
284	6
285	3
286	8
287	4
288	6
289	5
290	4
291	4
292	4
293	2
294	4
295	2
296	8
297	3
298	4
299	6
300	1
